Simulation run,Number of steps to equilibrate
0,1101
1,533
2,559
3,277
4,556
5,488
6,243
7,340
8,704
9,595
10,1007
11,1376
12,2368
13,732
14,719
15,1038
16,1495
17,613
18,206
19,1341
20,384
21,791
22,1861
23,276
24,934
25,689
26,1024
27,680
28,1143
29,628
30,222
31,481
32,893
33,1086
34,715
35,783
36,2363
37,350
38,2495
39,1827
40,2040
41,219
42,363
43,1012
44,858
45,882
46,341
47,634
48,1385
49,767
50,1262
51,564
52,2197
53,234
54,509
55,1957
56,1020
57,314
58,821
59,377
60,266
61,2363
62,878
63,647
64,1201
65,342
66,399
67,1206
68,1387
69,180
70,856
71,415
72,214
73,1776
74,1651
75,606
76,1511
77,967
78,507
79,320
81,637
82,575
83,506
84,255
85,473
86,592
87,226
88,496
89,834
90,350
91,959
92,241
93,479
94,827
95,897
96,832
97,1212
98,711
99,1715
100,682
101,495
102,428
103,822
104,569
105,952
106,993
107,649
108,1044
109,824
110,1293
111,474
112,1407
113,905
114,438
115,1361
116,392
117,1659
118,1564
119,1197
120,963
121,1107
122,1327
123,665
124,357
125,1255
126,614
127,696
128,424
129,1365
130,646
131,332
132,781
133,714
134,311
135,1199
136,401
137,872
138,333
139,234
140,457
141,553
142,717
143,360
144,859
145,918
146,226
147,714
148,1325
149,898
150,503
152,500
153,431
154,482
155,621
156,190
157,484
158,346
159,1278
160,2055
161,1728
162,1370
163,556
164,307
165,1060
166,586
167,293
168,1236
169,988
170,963
171,695
172,379
173,1116
174,1462
175,471
176,3572
177,712
178,347
179,375
180,589
181,196
182,359
183,1334
184,818
185,662
186,3515
187,183
188,784
189,1104
190,539
191,712
192,403
193,995
194,2593
195,380
196,1007
197,1722
198,428
199,1305
200,402
201,324
202,1551
203,1142
204,984
205,410
206,1459
207,759
208,822
209,4031
210,1089
211,3028
212,436
213,315
214,377
215,1101
216,1524
217,1035
218,1037
219,1091
220,580
221,707
222,1461
223,304
224,1505
225,1046
226,451
227,551
228,1029
229,2299
230,989
231,759
232,573
233,696
234,1438
235,445
236,1508
237,504
238,546
239,609
240,236
241,373
242,705
243,424
244,575
245,489
246,417
247,585
248,401
249,824
250,357
251,772
252,605
253,488
255,2728
256,666
257,594
258,1383
259,1252
260,3443
261,488
262,648
263,1125
264,1483
265,1527
266,456
267,497
268,1883
269,718
270,549
271,246
272,497
273,528
274,328
275,1518
276,347
277,1022
278,782
279,178
280,914
281,2000
282,972
283,279
284,355
285,363
286,701
287,629
288,1560
289,579
290,888
291,845
292,2668
293,881
294,193
295,3182
296,413
297,822
298,225
299,588
300,3177
301,424
302,1781
303,2156
304,210
305,1621
306,736
307,710
308,1481
309,352
310,899
311,1113
312,541
313,864
314,369
315,1184
316,2092
317,1558
318,805
319,331
320,675
321,661
322,678
323,894
324,721
326,132
327,395
328,270
329,380
330,880
331,1923
332,1172
333,2144
334,793
335,569
336,773
337,1623
338,486
339,931
340,1053
341,552
342,401
343,2603
344,1445
345,1904
346,1321
347,2050
348,498
349,614
350,436
351,1425
352,1217
353,496
354,448
355,669
356,581
357,313
358,433
359,842
361,922
362,377
363,496
364,930
365,490
366,588
367,1204
368,757
369,397
370,475
371,1682
372,1013
373,1497
374,612
375,498
376,466
377,693
378,712
379,1789
380,688
381,1673
382,1160
383,492
384,260
385,396
386,868
387,890
388,1440
389,1316
390,332
391,664
392,679
393,680
394,1451
395,981
396,421
397,1683
398,1950
399,1175
400,1785
401,513
402,375
403,2006
404,685
405,344
406,252
407,619
408,2315
409,1262
410,1151
411,626
412,338
413,724
414,558
415,1007
416,1223
417,1540
418,658
419,729
420,933
421,363
422,661
423,229
424,661
425,513
426,482
427,966
428,2276
429,2616
430,948
431,318
432,421
433,823
434,395
435,1304
436,366
437,1099
438,343
439,476
440,687
441,1167
442,699
443,382
444,1067
445,360
446,1272
447,372
448,786
449,528
450,1344
451,299
452,219
453,878
454,853
455,423
456,1835
457,607
458,1515
459,1880
460,521
461,2025
462,1018
464,2760
465,535
466,2987
467,526
468,273
469,1361
470,1300
471,1130
472,361
473,1072
474,876
475,750
476,421
477,936
478,616
479,1290
480,597
481,573
482,204
483,725
484,703
485,722
486,561
487,574
488,1067
489,492
490,841
491,612
492,1388
493,302
494,1285
495,1132
496,635
497,1721
498,378
499,976
500,529
501,1593
502,617
503,355
504,420
505,656
506,1026
507,1055
508,292
509,366
510,587
511,2356
512,458
513,1058
514,197
515,617
516,526
517,192
518,144
519,340
520,2579
521,979
522,2227
523,1026
524,737
525,976
526,715
527,646
528,488
529,981
530,1384
531,931
532,2291
533,387
534,1921
535,248
536,418
537,520
538,339
539,913
540,820
541,2102
543,749
544,1606
545,364
546,803
547,792
548,1282
549,1026
550,354
551,807
552,504
553,951
554,609
555,400
556,916
557,1558
558,918
559,236
560,301
561,4472
562,2389
563,1474
564,636
565,275
566,307
567,583
568,1842
569,2694
570,2988
571,1993
572,1975
573,347
574,566
575,1369
576,1693
577,425
578,1236
579,342
580,533
581,1018
582,361
583,462
584,544
585,426
586,373
587,445
588,1529
589,1111
590,763
591,693
592,570
593,617
594,848
596,360
597,330
598,2139
599,797
600,601
601,989
602,490
603,247
604,1357
605,422
606,758
607,1020
608,600
609,366
610,491
611,1519
612,1160
613,586
614,370
615,293
616,898
617,1571
618,366
619,665
620,557
621,1040
622,824
623,191
624,2041
625,266
626,248
627,592
628,629
629,850
630,813
631,1277
632,1116
633,1507
634,896
635,626
636,331
637,1255
638,1023
639,1595
640,615
641,1208
642,861
643,751
644,1664
645,775
646,265
647,797
648,1066
649,1529
650,1174
651,846
652,590
653,363
654,461
655,1451
656,728
657,366
658,1010
659,535
660,465
661,499
662,764
663,1375
664,1142
665,490
666,242
667,1046
668,828
669,1653
670,481
671,293
672,350
673,330
674,1501
675,375
676,1412
677,2089
678,499
679,2125
680,787
681,799
682,234
683,851
684,901
685,195
686,1133
687,391
688,1058
689,1191
690,1256
691,729
692,1081
693,1576
694,627
695,547
696,1851
697,1095
698,985
699,374
700,2113
701,1054
702,596
703,1186
